Plant Name,Growth,Soil,Sunlight,Watering,Fertilizing Type,ImageURL,Scientific Name,Genus,Family,Information,Watering tips,Soil Tips,Pruning Tips
Balloon Flower,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1626245224989-a2eff379eb74?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCYWxsb29uJTIwRmxvd2VyJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyOTIyfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Japanese Anemone,moderate,well-drained,partial sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1717320985767-227321c394b4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxKYXBhbmVzZSUyMEFuZW1vbmUlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU5OTR8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Veronica,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1738330528695-c8e8f07dd1e4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxWZXJvbmljYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk5Nnww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Sedum,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1674088913580-d78216048855?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxTZWR1bSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk5OHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Helenium,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1629645741830-ce573938794f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxIZWxlbml1bSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjAwMHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Astilbe,moderate,well-drained,partial sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1691913118633-179680741260?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxBc3RpbGJlJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU2MDAyfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Coreopsis,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1598545849316-e778adb5f9f5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDb3Jlb3BzaXMlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI5MTZ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Columbine,moderate,well-drained,partial sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1621371047525-f99f36b60b9d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDb2x1bWJpbmUlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI5MjR8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Globe Thistle,moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1719551751478-fc9fdca25d91?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxHbG9iZSUyMFRoaXN0bGUlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTYwMDR8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Lupine,moderate,sandy,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1465471315544-f11525b8974c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxMdXBpbmUlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTYwMDV8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Blanket Flower,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1624396593470-a4a06f5d1947?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxCbGFua2V0JTIwRmxvd2VyJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU2MDA3fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Toad Lily,slow,well-drained,partial sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1526610354042-ad05105f7280?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxUb2FkJTIwTGlseSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjAwOXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Russian Sage,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1725480386383-17a2bcfbb018?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxSdXNzaWFuJTIwU2FnZSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjAxMXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bee Balm,moderate,well-drained,partial sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxCZWUlMjBCYWxtJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU2MDEzfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Speedwell,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1672611797222-025d1ac38da6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxTcGVlZHdlbGwlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTYwMTV8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Catnip,fast,sandy,full sunlight,Water when topsoil is dry,Balanced,https://images.unsplash.com/photo-1735119181257-85da689e6532?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxDYXRuaXAlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTYwMTd8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Lavender,slow,sandy,full sunlight,Water when soil is dry,Organic,https://images.unsplash.com/photo-1552033931-d249575b5ac1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxMYXZlbmRlciUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjIxNHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Rosemary,slow,sandy,full sunlight,Water when soil is dry,Organic,https://images.unsplash.com/photo-1603129624917-3c579e864025?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxSb3NlbWFyeSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjIxOHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Thyme,slow,sandy,full sunlight,Water when soil is dry,Organic,https://images.unsplash.com/photo-1679061584104-534b7ec4afe6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxUaHltZSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjIyMXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Sage,slow,sandy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1734367607096-9005870e78b7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTYWdlJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTY0fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Parsley,moderate,well-drained,partial sunlight,Keep soil evenly moist,Organic,https://images.unsplash.com/photo-1719724680288-b0a3a7d90baf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQYXJzbGV5JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTM3fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Cilantro,fast,well-drained,full sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1723810315254-e189f1294bff?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDaWxhbnRybyUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU0OXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Dill,moderate,sandy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1509210459313-17feefdff5cd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxEaWxsJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTUxfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Chives,fast,well-drained,full sunlight,Keep soil evenly moist,Organic,https://images.unsplash.com/photo-1607604809358-81df2bfcdd41?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDaGl2ZXMlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1NTN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Oregano,slow,sandy,full sunlight,Water when soil is dry,Organic,https://images.unsplash.com/photo-1586352095703-97bbca90ce8a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxPcmVnYW5vJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTU0fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Tarragon,slow,sandy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1726924244606-0df8fac5dd78?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxUYXJyYWdvbiUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjAxOXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bay Laurel,slow,sandy,partial sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxCYXklMjBMYXVyZWwlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTYwMjF8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Lemon Balm,moderate,well-drained,partial sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1622576454275-729fbf6aa6eb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxMZW1vbiUyMEJhbG0lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTYwMjN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Fennel,moderate,sandy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1690877468019-5efa59d0bc36?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxGZW5uZWwlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTYwMjV8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Chamomile,moderate,sandy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1508092008654-30a973ac4efe?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxDaGFtb21pbGUlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTYwMjZ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Tarragon,moderate,sandy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1726924244606-0df8fac5dd78?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxUYXJyYWdvbiUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjAxOXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Lemongrass,fast,well-drained,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1648135228763-60dc8a61ed02?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxMZW1vbmdyYXNzJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU2MDMwfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Stevia,slow,well-drained,partial sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1600852342169-a4b83ab657f2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxTdGV2aWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTYwMzJ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Marjoram,moderate,sandy,full sunlight,Water when soil is dry,No,https://images.unsplash.com/photo-1693987273005-aab5f811c0f0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxNYXJqb3JhbSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjAzNHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Spider Plant,fast,well-drained,indirect sunlight,Water weekly,No,https://images.unsplash.com/photo-1722936515647-b00b7b6f9c3f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTcGlkZXIlMjBQbGFudCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjUzNXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Peace Lily,moderate,well-drained,indirect sunlight,Keep soil moist,No,https://images.unsplash.com/photo-1534082892897-9dbed9807519?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQZWFjZSUyMExpbHklMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1MzN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Rubber Plant,slow,sandy,indirect sunlight,Water weekly,No,https://images.unsplash.com/photo-1512951670161-b5c6c632b00e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxSdWJiZXIlMjBQbGFudCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU1OHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
ZZ Plant,slow,sandy,indirect sunlight,Let soil dry between watering,No,https://images.unsplash.com/photo-1606256424344-1cdc0b074925?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxaWiUyMFBsYW50JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU2NDYxfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Pothos,fast,well-drained,indirect sunlight,Water weekly,No,https://images.unsplash.com/photo-1589523795613-c3fce27eea23?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQb3Rob3MlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1NTZ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Philodendron,moderate,well-drained,indirect sunlight,Water weekly,No,https://images.unsplash.com/photo-1742495175579-07c8443ae916?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxQaGlsb2RlbmRyb24lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTY0NjN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Monstera,moderate,well-drained,indirect sunlight,Water weekly,No,https://images.unsplash.com/photo-1545165375-1b744b9ed444?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxNb25zdGVyYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjQ2NXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Calathea,moderate,well-drained,indirect sunlight,Keep soil moist,No,https://images.unsplash.com/photo-1616276595426-81d5a3cfc772?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxDYWxhdGhlYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjQ2N3ww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Fern (Boston Fern),moderate,well-drained,indirect sunlight,Keep soil moist,No,https://images.unsplash.com/photo-1541519962116-cc18dbc08d41?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxGZXJuJTIwJTI4Qm9zdG9uJTIwRmVybiUyOSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjQ2OXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Croton,slow,well-drained,indirect sunlight,Water weekly,No,https://images.unsplash.com/photo-1694555221890-1f7c1b288258?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxDcm90b24lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTY0NzF8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Dieffenbachia,slow,well-drained,indirect sunlight,Water weekly,No,https://images.unsplash.com/photo-1633975531272-23c7c0848090?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxEaWVmZmVuYmFjaGlhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU2NDczfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Dracaena,slow,sandy,indirect sunlight,Let soil dry between watering,No,https://images.unsplash.com/photo-1708346040744-b75b6985e337?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxEcmFjYWVuYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjQ3NXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bamboo Palm,moderate,well-drained,indirect sunlight,Water weekly,No,https://images.unsplash.com/photo-1515595967223-f9fa59af5a3b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCYW1ib28lMjBQYWxtJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTQxfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Areca Palm,slow,well-drained,indirect sunlight,Water weekly,No,https://images.unsplash.com/photo-1516825513084-7a3397fcd108?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxBcmVjYSUyMFBhbG0lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTY0Nzd8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Majesty Palm,slow,well-drained,indirect sunlight,Water weekly,No,https://images.unsplash.com/photo-1519248964876-9524a73205e8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxNYWplc3R5JTIwUGFsbSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjQ3OXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bird of Paradise,moderate,well-drained,indirect sunlight,Water weekly,No,https://images.unsplash.com/photo-1699166386635-4e42ed46af6c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxCaXJkJTIwb2YlMjBQYXJhZGlzZSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjQ4MXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Orchids,moderate,well-drained,indirect sunlight,Water weekly,No,https://images.unsplash.com/photo-1538998073820-4dfa76300194?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxPcmNoaWRzJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTQ3fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Anthurium,moderate,well-drained,indirect sunlight,Keep soil moist,No,https://images.unsplash.com/photo-1685501420015-6692870407fc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxBbnRodXJpdW0lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTY0ODJ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Jade Plant,slow,sandy,indirect sunlight,Let soil dry between watering,No,https://images.unsplash.com/photo-1483794344563-d27a8d18014e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxKYWRlJTIwUGxhbnQlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1NDV8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Chinese Evergreen,slow,well-drained,indirect sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1491146179969-d674118945ff?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxDaGluZXNlJTIwRXZlcmdyZWVuJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU2NDg1fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Peperomia,slow,well-drained,indirect sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1610630876605-97b3e670f56c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxQZXBlcm9taWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTY0ODZ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Ficus Tree,slow,well-drained,indirect sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1545504951-cf047e1d1d94?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxGaWN1cyUyMFRyZWUlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTY0ODh8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Succulents (General),slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1459664018906-085c36f472af?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxTdWNjdWxlbnRzJTIwJTI4R2VuZXJhbCUyOSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjQ5MHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Echeveria,slow,sandy,full sunlight,Water when soil is dry,Balanced,https://images.unsplash.com/photo-1491381444146-6ef9fec7d309?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxFY2hldmVyaWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU5NzN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Haworthia,slow,sandy,indirect sunlight,Water when topsoil is dry,Low-nitrogen,https://images.unsplash.com/photo-1517204452548-5f07ce910c9b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxIYXdvcnRoaWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTY0OTR8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
String of Pearls,slow,sandy,indirect sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1533908529530-c0aaa365d36b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxTdHJpbmclMjBvZiUyMFBlYXJscyUyMHBsYW50fGVufDB8fHx8MTc0NDU1NjQ5NXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Jade Pothos,moderate,well-drained,indirect sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1502810365585-56ffa361fdde?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxKYWRlJTIwUG90aG9zJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU2NDk3fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Swedish Ivy,fast,well-drained,indirect sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1717184119500-ea51a1175415?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxTd2VkaXNoJTIwSXZ5JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU2NDk5fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
